gene,biotype
rimJ,protein_coding
yceH,protein_coding
yceM,protein_coding
murJ,protein_coding
flgN,protein_coding
flgM,protein_coding
flgA,protein_coding
flgB,protein_coding
flgC,protein_coding
flgD,protein_coding
flgE,protein_coding
flgF,protein_coding
flgG,protein_coding
flgH,protein_coding
flgI,protein_coding
flgJ,protein_coding
flgK,protein_coding
flgL,protein_coding
rne,protein_coding
yceQ,protein_coding
rluC,protein_coding
yceF,protein_coding
sraB,ncRNA
yceD,protein_coding
rpmF,protein_coding
plsX,protein_coding
fabH,protein_coding
fabD,protein_coding
fabG,protein_coding
acpP,protein_coding
fabF,protein_coding
pabC,protein_coding
mltG,protein_coding
tmk,protein_coding
holB,protein_coding
ycfH,protein_coding
ptsG,protein_coding
fhuE,protein_coding
hinT,protein_coding
ycfL,protein_coding
lpoB,protein_coding
thiK,protein_coding
nagZ,protein_coding
ycfP,protein_coding
ndh,protein_coding
ycfJ,protein_coding
comR,protein_coding
bhsA,protein_coding
ldtC,protein_coding
mfd,protein_coding
ycfT,protein_coding
lolC,protein_coding
lolD,protein_coding
lolE,protein_coding
nagK,protein_coding
cobB,protein_coding
ycfZ,protein_coding
ymfA,protein_coding
potD,protein_coding
potC,protein_coding
potB,protein_coding
potA,protein_coding
pepT,protein_coding
roxA,protein_coding
phoQ,protein_coding
phoP,protein_coding
purB,protein_coding
hflD,protein_coding
mnmA,protein_coding
nudJ,protein_coding
rluE,protein_coding
icd,protein_coding
ymfD,protein_coding
ymfE,protein_coding
lit,protein_coding
intE,protein_coding
xisE,protein_coding
ymfH,protein_coding
ymfI,protein_coding
ymfJ,protein_coding
ymfK,protein_coding
ymfT,protein_coding
ymfL,protein_coding
ymfM,protein_coding
ymfN,protein_coding
oweE,pseudogene
aaaE,pseudogene
ymfR,protein_coding
beeE,protein_coding
jayE,pseudogene
ymfQ,protein_coding
ycfK,protein_coding
tfaP,protein_coding
tfaE,protein_coding
stfE,pseudogene
pinE,protein_coding
mcrA,protein_coding
icdC,pseudogene
iraM,protein_coding
ymgK,protein_coding
ymgL,protein_coding
ycgX,protein_coding
bluR,protein_coding
bluF,protein_coding
ycgZ,protein_coding
ymgA,protein_coding
ariR,protein_coding
ymgC,protein_coding
pdeG,protein_coding
ymgF,protein_coding
ycgH,pseudogene
ymgD,protein_coding
ymgG,protein_coding
ymgI,protein_coding
ymgJ,protein_coding
ycgI,pseudogene
minE,protein_coding
minD,protein_coding
minC,protein_coding
ycgJ,protein_coding
pliG,protein_coding
ycgL,protein_coding
ycgM,protein_coding
ycgN,protein_coding
hlyE,protein_coding
umuD,protein_coding
umuC,protein_coding
dsbB,protein_coding
nhaB,protein_coding
fadR,protein_coding
ycgB,protein_coding
dadA,protein_coding
dadX,protein_coding
ymgM,protein_coding
cvrA,protein_coding
ldcA,protein_coding
emtA,protein_coding
ycgR,protein_coding
ymgE,protein_coding
ycgY,protein_coding
treA,protein_coding
dhaM,protein_coding
dhaL,protein_coding
dhaK,protein_coding
dhaR,protein_coding
ycgV,protein_coding
ychF,protein_coding
pth,protein_coding
ychH,protein_coding
dauA,protein_coding
prs,protein_coding
ispE,protein_coding
lolB,protein_coding
hemA,protein_coding
prfA,protein_coding
prmC,protein_coding
ychQ,protein_coding
ychA,protein_coding
kdsA,protein_coding
ldrA,protein_coding
rdlA,ncRNA
ldrB,protein_coding
rdlB,ncRNA
ldrC,protein_coding
rdlC,ncRNA
chaA,protein_coding
chaB,protein_coding
chaC,protein_coding
ychN,protein_coding
ychO,protein_coding
narL,protein_coding
narX,protein_coding
narK,protein_coding
narG,protein_coding
narH,protein_coding
narJ,protein_coding
narI,protein_coding
ychS,protein_coding
rttR,ncRNA
tpr,protein_coding
tyrV,tRNA
tyrT,tRNA
purU,protein_coding
ychJ,protein_coding
rssA,protein_coding
rssB,protein_coding
galU,protein_coding
hns,protein_coding
tdk,protein_coding
insZ,pseudogene
adhE,protein_coding
ychT,protein_coding
ychE,protein_coding
insH21,protein_coding
oppA,protein_coding
oppB,protein_coding
oppC,protein_coding
oppD,protein_coding
oppF,protein_coding
yciU,protein_coding
clsA,protein_coding
yciY,protein_coding
kch,protein_coding
yciI,protein_coding
tonB,protein_coding
yciA,protein_coding
yciB,protein_coding
yciC,protein_coding
ompW,protein_coding
yciE,protein_coding
yciF,protein_coding
yciG,protein_coding
trpA,protein_coding
trpB,protein_coding
trpC,protein_coding
trpD,protein_coding
trpE,protein_coding
trpL,protein_coding
yciV,protein_coding
yciO,protein_coding
yciQ,protein_coding
rluB,protein_coding
btuR,protein_coding
yciK,protein_coding
sohB,protein_coding
yciN,protein_coding
topA,protein_coding
cysB,protein_coding
ymiA,protein_coding
yciX,protein_coding
ymiC,protein_coding
acnA,protein_coding
ribA,protein_coding
pgpB,protein_coding
lapA,protein_coding
lapB,protein_coding
pyrF,protein_coding
yciH,protein_coding
osmB,protein_coding
yciT,protein_coding
yciZ,protein_coding
ymiD,protein_coding
pdeR,protein_coding
ymiB,protein_coding
rnb,protein_coding
yciW,protein_coding
fabI,protein_coding
ycjD,protein_coding
sapF,protein_coding
sapD,protein_coding
sapC,protein_coding
sapB,protein_coding
sapA,protein_coding
ymjA,protein_coding
puuP,protein_coding
ymjE,protein_coding
