,0
pxpB,"ECK0700,ybgJ"
pxpC,"ECK0701,ybgK"
pxpA,"ECK0702,ybgL"
nei,ECK0703
abrB,"ECK0704,ybgN"
ybgO,ECK0705
ybgP,ECK0706
ybgQ,ECK0707
ybgD,ECK0708
gltA,"ECK0709,gluT,icdB"
ybgV,ECK4625
ybgU,ECK4592
sdhC,"cybA,cybL,dhsC,ECK0710"
sdhD,"cybS,dhsD,ECK0711"
sdhA,"dhsA,ECK0712"
sdhB,"dhsB,ECK0713"
sucA,"ECK0714,lys+met"
sucB,ECK0715
sucC,ECK0716
sucD,ECK0717
sdhX,"ECK4621,rybD"
mngR,"ECK0718,farR,ybgB"
mngA,"ECK0719,frx,hrsA"
mngB,"ECK0720,ybgG"
cydA,"cyd-1,ECK0721"
cydB,"cyd-2,ECK0722"
cydX,"ECK0723,ybgT"
ybgE,ECK0724
ybgC,ECK0725
tolQ,"ECK0726,fii,tolP"
tolR,ECK0727
tolA,"cim,ECK0728,excC,lky,tol-2"
tolB,"ECK0729,lky,lkyA,tol-3"
pal,"ECK0730,excC"
cpoB,"ECK0731,ybgF"
lysT,"ECK0732,lysTalpha,sua,supG,supL,Su[beta]"
valT,"ECK0733,valTa,valTalpha"
lysW,"ECK0734,lysT-beta,lysTbeta,su"
valZ,"ECK0735,valTb,valTbeta"
lysY,"ECK0736,lysTg,lysTgamma"
lysZ,ECK0737
lysQ,ECK0738
nadA,"ECK0739,nicA"
pnuC,ECK0740
zitB,"ECK0741,ybgR"
ybgS,ECK0742
aroG,ECK0743
gpmA,"ECK0744,gpm"
galM,ECK0745
galK,"ECK0746,galA"
galT,"ECK0747,galB"
galE,"ECK0748,galD"
modF,"chlD,ECK0749,phrA"
modE,"chlD,ECK0750,modR"
acrZ,"ECK0751,ybhT"
modA,ECK0752
modB,"chlJ,ECK0753,tslJ"
modC,"chlD,ECK0754,narD"
ybhA,ECK0755
pgl,"ECK0756,ybhE"
ybhD,ECK0757
ybhH,ECK0758
ybhI,ECK0759
ybhJ,ECK0760
ybhC,ECK0761
ybhB,ECK0762
bioA,ECK0763
bioB,ECK0764
bioF,ECK0765
bioC,ECK0766
bioD,ECK0767
uvrB,"dar-1,dar-6,ECK0768"
ybhK,ECK0769
moaA,"bisA,chlA,chlA1,ECK0770,narA"
moaB,"chlA2,ECK0771"
moaC,"chlA3,ECK0772"
moaD,"chlA4,chlM,ECK0773"
moaE,"chlA5,ECK0774"
ybhL,ECK0775
ybhM,ECK0776
ybhN,ECK0777
clsB,"ECK0778,ybhO"
ybhP,ECK0779
ybhQ,ECK0780
ybhR,ECK0781
ybhS,ECK0782
ybhF,ECK0783
ybhG,ECK0784
cecR,"ECK0785,ybiH"
rhlE,ECK0786
ybiA,ECK0787
dinG,"ECK0788,rarB"
ybiB,ECK0789
hcxB,"ECK0790,ybiC"
ybiE,ECK4626
ybiJ,ECK0791
ybiI,ECK0792
ybiX,ECK0793
fiu,"ECK0794,ybiL"
mcbA,"ECK0795,ybiM"
rlmF,"ECK0796,ybiN"
ybiO,ECK0797
glnQ,ECK0798
glnP,ECK0799
glnH,ECK0800
dps,"ECK0801,pexB,vtm"
rhtA,"ECK0802,ybiF"
yliM,ECK4593
ompX,"ECK0803,ompP,ybiG"
opgE,"ECK0804,ybiP"
rybA,ECK0806
mntS,"ECK4517,G0-8881"
mntR,"ECK0807,ybiQ"
ybiR,ECK0808
ldtB,"ECK0809,ybiS"
ybiT,ECK0810
ybiU,ECK0811
ybiV,"ECK0812,supH"
ybiW,"ECK0813,pflF"
ybiY,"ECK0814,pflE"
fsaA,"ECK0815,fsa,mipB,ybiZ"
moeB,"chlN,ECK0816"
