,gene,biotype,synonym
1881,dgcJ,protein_coding,"ECK1784,yeaJ"
1882,yeaK,protein_coding,ECK1785
1883,yoaI,protein_coding,ECK1786
1884,yeaL,protein_coding,ECK1787
1885,nimR,protein_coding,"ECK1788,yeaM"
1886,nimT,protein_coding,"ECK1789,yeaN"
1887,yeaO,protein_coding,ECK1790
1888,yoaF,protein_coding,ECK1791
1889,dgcP,protein_coding,"ECK1792,yeaP"
1890,yoaK,protein_coding,ECK4491
1891,yoaJ,protein_coding,ECK4490
1892,yeaQ,protein_coding,ECK1793
1893,yoaG,protein_coding,ECK1794
1894,yeaR,protein_coding,ECK1795
1895,leuE,protein_coding,"ECK1796,yeaS"
1896,dmlR,protein_coding,"ECK1797,yeaT"
1897,dmlA,protein_coding,"ECK1798,ttuC,yeaU"
1898,yeaV,protein_coding,ECK1799
1899,yeaW,protein_coding,ECK1800
1900,yeaX,protein_coding,ECK1801
1901,rnd,protein_coding,ECK1802
1902,fadD,protein_coding,"ECK1803,oldD"
1903,yeaY,protein_coding,ECK1804
1904,tsaB,protein_coding,"ECK1805,yeaZ"
1905,yoaA,protein_coding,ECK1806
1906,yoaB,protein_coding,ECK1807
1907,yoaC,protein_coding,ECK1808
1908,yoaH,protein_coding,ECK1809
1909,pabB,protein_coding,ECK1810
1910,nudL,protein_coding,"ECK1811,yeaB"
1911,sdaA,protein_coding,ECK1812
1912,pdeD,protein_coding,"ECK1813,yoaD"
1913,yoaE,protein_coding,"borG,ECK1814"
1914,yoaL,protein_coding,ECK4608
1915,manX,protein_coding,"ECK1815,gptB,mpt,ptsL,ptsM,ptsX"
1916,manY,protein_coding,"ECK1816,pel,ptsM,ptsP,ptsX"
1917,manZ,protein_coding,"ECK1817,gptB,mpt,ptsM,ptsX"
1918,yobD,protein_coding,ECK1818
1919,mntP,protein_coding,"ECK1819,yebN"
1920,rlmA,protein_coding,"ECK1820,rrmA,yebH"
1921,cspC,protein_coding,"ECK1821,msmB"
1922,yobF,protein_coding,ECK1822
1923,yebO,protein_coding,ECK1823
1924,mgrB,protein_coding,"ECK1824,yobG"
1925,yobH,protein_coding,ECK1825
1926,kdgR,protein_coding,"ECK1826,yebP"
1927,yebQ,protein_coding,ECK1827
1928,htpX,protein_coding,ECK1828
1929,prc,protein_coding,"ECK1829,tsp"
1930,proQ,protein_coding,"ECK1830,yebJ,yobE,yoeC"
1931,msrC,protein_coding,"ECK1831,yebR"
1932,letA,protein_coding,"ECK1832,yebS"
1933,letB,protein_coding,"ECK1833,yebT"
1934,rsmF,protein_coding,"ECK1834,yebU"
1935,yebV,protein_coding,ECK1835
1936,yebW,protein_coding,ECK1836
1937,pphA,protein_coding,"ECK1837,prpA,yebX"
1938,ryeA,ncRNA,"ECK1838,IS091,psrA8,sraC,tkpe79"
1939,sdsR,ncRNA,"ECK1839,ryeB,tkpe79"
1940,yebY,protein_coding,ECK1840
1941,yebZ,protein_coding,ECK1841
1942,yobA,protein_coding,ECK1842
1943,holE,protein_coding,ECK1843
1944,yobB,protein_coding,ECK1844
1945,exoX,protein_coding,"ECK1845,yobC"
1946,ptrB,protein_coding,"ECK1846,tlp"
1947,yebE,protein_coding,ECK1847
1948,yebF,protein_coding,ECK1848
1949,yebG,protein_coding,ECK1849
1950,purT,protein_coding,ECK1850
1951,eda,protein_coding,"ECK1851,hga,kdgA,kga"
1952,edd,protein_coding,ECK1852
1953,zwf,protein_coding,ECK1853
1954,yebK,protein_coding,"ECK1854,hexR(P.a.)"
1955,pykA,protein_coding,ECK1855
1956,lpxM,protein_coding,"ECK1856,mlt,msbB,waaN"
1957,mepM,protein_coding,"ECK1857,yebA"
1958,znuA,protein_coding,"ECK1858,yebL,yzzP"
1959,znuC,protein_coding,"ECK1859,yebM"
1960,znuB,protein_coding,"ECK1860,yebI"
1961,ruvB,protein_coding,ECK1861
1962,ruvA,protein_coding,ECK1862
1963,yobI,protein_coding,ECK4492
1964,yebB,protein_coding,ECK1863
1965,ruvC,protein_coding,ECK1864
1966,yebC,protein_coding,ECK1865
1967,nudB,protein_coding,"ECK1866,ntpA,yebD"
1968,aspS,protein_coding,"ECK1867,tls"
1969,yecD,protein_coding,ECK1868
1970,yecE,protein_coding,ECK1869
1971,yecN,protein_coding,ECK1870
1972,cmoA,protein_coding,"ECK1871,yecO"
1973,cmoB,protein_coding,"ECK1872,yecP"
1974,torZ,protein_coding,"bisZ,ECK1873"
1975,torY,protein_coding,"ECK1874,yecK"
1976,micL,ncRNA,"ECK4574,ryeF,slrA"
1977,cutC,protein_coding,ECK1875
1978,yecM,protein_coding,"ECK1876,yecL"
1979,argS,protein_coding,"ECK1877,lov,lov-1"
1980,yecV,protein_coding,ECK4635
1981,yecT,protein_coding,ECK1878
1982,flhE,protein_coding,ECK1879
1983,flhA,protein_coding,"ECK1880,flaH"
1984,flhB,protein_coding,"ECK1881,flaG,yecQ"
1985,cheZ,protein_coding,ECK1882
1986,cheY,protein_coding,ECK1883
1987,cheB,protein_coding,ECK1884
1988,cheR,protein_coding,"cheX,ECK1885"
1989,tap,protein_coding,ECK1886
1990,tar,protein_coding,"cheM,ECK1887"
1991,cheW,protein_coding,ECK1888
1992,cheA,protein_coding,ECK1889
1993,motB,protein_coding,"ECK1890,flaJ"
1994,motA,protein_coding,"ECK1891,flaJ"
1995,flhC,protein_coding,"ECK1892,flaI"
1996,flhD,protein_coding,"ECK1893,flbB"
1997,insB5,protein_coding,ECK0022
1998,insA5,protein_coding,ECK0023
1999,uspC,protein_coding,"ECK1894,yecG"
2000,otsA,protein_coding,ECK1895
2001,otsB,protein_coding,"ECK1896,otsP"
2002,araH,protein_coding,"b1898,b1899,ECK1897"
2003,araG,protein_coding,ECK1898
2004,araF,protein_coding,ECK1899
2005,ftnB,protein_coding,"ECK1900,yecI"
2006,yecJ,protein_coding,ECK1901
2007,azuC,protein_coding,ECK4478
2008,yecR,protein_coding,ECK1903
2009,ftnA,protein_coding,"ECK1904,ftn,gen-165,rsgA"
2010,yecH,protein_coding,ECK1905
2011,tyrP,protein_coding,ECK1906
2012,yecA,protein_coding,ECK1907
2013,3'ETS-leuZ,ncRNA,ECK4616
2014,leuZ,tRNA,ECK1908
2015,cysT,tRNA,ECK1909
2016,glyW,tRNA,"ECK1910,ins,mutC,suA58,suA78"
2017,pgsA,protein_coding,ECK1911
2018,uvrC,protein_coding,ECK1912
2019,uvrY,protein_coding,"ECK1913,yecB"
2020,yecU,protein_coding,ECK4609
2021,yecF,protein_coding,ECK1914
2022,sdiA,protein_coding,ECK1915
2023,sdsN,ncRNA,ECK4576
2024,tcyN,protein_coding,"ECK1916,yecC"
2025,tcyL,protein_coding,"ECK1917,yecS"
2026,dcyD,protein_coding,"ECK1918,yedO"
2027,tcyJ,protein_coding,"ECK1919,fliY,ssi7,yzzR"
2028,fliZ,protein_coding,"ECK1920,yedH"
2029,fliA,protein_coding,"ECK1921,flaD,rpoF"
2030,fliC,protein_coding,"ECK1922,flaF,H,hag"
2031,fliD,protein_coding,"ECK1923,flbC,rfs"
2032,fliS,protein_coding,ECK1924
2033,fliT,protein_coding,ECK1925
2034,amyA,protein_coding,"ECK1926,yedC"
2035,yedD,protein_coding,ECK1927
2036,yedE,protein_coding,ECK1928
2037,yedF,protein_coding,ECK1929
2038,yedK,protein_coding,"ECK1930,yedG"
2039,yedL,protein_coding,ECK1931
2040,yedN,pseudogene,"b1933,b1934,b1935,ECK1932,ECK1933,yedM"
2041,intG,pseudogene,ECK1934
2042,fliE,protein_coding,"ECK1935,fla,flaAI,flaN"
2043,fliF,protein_coding,"ECK1936,flaAII.1,flaBI"
2044,fliG,protein_coding,"ECK1937,flaAII.2,flaBII"
2045,fliH,protein_coding,"ECK1938,flaAII.3,flaBIII"
2046,fliI,protein_coding,"ECK1939,fla,flaAIII,flaC"
2047,fliJ,protein_coding,"ECK1940,flaO"
2048,fliK,protein_coding,"ECK1941,flaE"
2049,fliL,protein_coding,"cheC1,ECK1942,flaAI,flaQI"
2050,fliM,protein_coding,"cheC2,ECK1943,fla,flaA,flaAII,flaQ,flaQII"
2051,fliN,protein_coding,"ECK1944,motD"
2052,fliO,protein_coding,"ECK1945,flbD"
2053,fliP,protein_coding,"ECK1946,flaR"
2054,fliQ,protein_coding,"ECK1947,flaQ"
2055,fliR,protein_coding,"ECK1948,flaP"
2056,rcsA,protein_coding,"cpsR,ECK1949"
2057,dsrB,protein_coding,ECK1950
2058,yodD,protein_coding,ECK1951
2059,dsrA,ncRNA,ECK1952
2060,yedP,protein_coding,ECK1953
2061,dgcQ,protein_coding,"ECK1954,yedQ"
2062,yodC,protein_coding,ECK1955
2063,yedI,protein_coding,ECK1956
2064,yedA,protein_coding,ECK1957
2065,vsr,protein_coding,ECK1958
2066,dcm,protein_coding,"ECK1959,mec"
2067,yedJ,protein_coding,ECK1960
2068,yedR,protein_coding,ECK1961
2069,rseX,ncRNA,"ECK4412,IS096"
2070,yedS,pseudogene,"b1964,b1965,b1966,ECK1962,yedT"
2071,hchA,protein_coding,"ECK1963,yedU,yzzC"
2072,hprS,protein_coding,"ECK1964,yedV"
2073,hprR,protein_coding,"ECK1965,yedW"
2074,hiuH,protein_coding,"ECK1966,yedX"
2075,msrP,protein_coding,"ECK1967,yedY"
2076,msrQ,protein_coding,"ECK1968,yedZ"
2077,zinT,protein_coding,"ECK1969,yodA"
2078,yodB,protein_coding,ECK1970
2079,serU,tRNA,"ECK1971,ftsM,Su-1,su1,supD,supH"
2080,mtfA,protein_coding,"ECK1972,yeeI"
2081,asnT,tRNA,ECK1973
2082,yeeJ,protein_coding,ECK1974
2083,yeeL,pseudogene,"b1979,b1980,ECK1975,yeeK"
2084,shiA,protein_coding,"ECK1976,yeeM"
2085,amn,protein_coding,ECK1977
2086,yeeN,protein_coding,ECK1978
2087,asnW,tRNA,ECK1979
2088,yeeO,protein_coding,ECK1980
2089,asnU,tRNA,ECK1981
2090,cbl,protein_coding,ECK1982
2091,nac,protein_coding,ECK1983
2092,asnV,tRNA,ECK1984
2093,ldtA,protein_coding,"ECK1985,erfK,yeeG,yzzT"
2094,cobT,protein_coding,ECK1986
2095,cobS,protein_coding,ECK1987
2096,cobU,protein_coding,ECK1988
2097,yeeH,pseudogene,ECK4437
2098,insH6,protein_coding,"ECK0261,trs5-6,yi52_6"
2099,yoeG,pseudogene,ECK4451
2100,yoeH,pseudogene,ECK4452
2101,yoeA,pseudogene,"b1995,b1998,ECK1989,ECK1990,yoeE"
2102,insD3,protein_coding,"ECK0358,yi22-3"
2103,insC3,protein_coding,"ECK0357,yi21-3"
2104,yeeP,pseudogene,ECK1991
2105,isrC,ncRNA,"ECK1992,IS102"
